stock_code,stock_name,keyword,title,content,published_at,source,url
001330.SZ,博纳影业,001330,博纳影业在上海成立影视科技公司，注册资本1000万,天眼查App显示，4月21日，博越星际蓝图（上海）影视科技有限公司成立，法定代表人为姜寨瑾，注册资本1000万人民币，经营范围包括广告制作、电影摄制服务、版权代理等，由博纳影业（001330）全资持股。,2026-04-21 15:24:49,界面新闻,http://finance.eastmoney.com/a/202604213712216272.html
002731.SZ,ST萃华,002731,ST萃华002731龙虎榜数据04-29),交易所2026年4月29日公布的交易公开信息显示，ST萃华因成为连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券上榜。ST萃华当日收报4.58元，涨跌幅-4.98%，换手率0.31%，成交额325.82万。异常期间4月27日至4月29日，期间涨幅-14.23%,2026-04-29 16:27:35,东方财富Choice数据,http://finance.eastmoney.com/a/202604293724447187.html
002731.SZ,ST萃华,002731,ST萃华002731龙虎榜数据04-24),交易所2026年4月24日公布的交易公开信息显示，ST萃华因成为连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券上榜。ST萃华当日收报5.34元，涨跌幅-4.98%，换手率0.32%，成交额393.18万。异常期间4月22日至4月24日，期间涨幅-14.29%,2026-04-24 16:28:06,东方财富Choice数据,http://finance.eastmoney.com/a/202604243717980472.html
002731.SZ,ST萃华,002731,ST萃华002731龙虎榜数据04-21,交易所2026年4月21日公布的交易公开信息显示，ST萃华因成为连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券上榜。ST萃华当日收报6.23元，涨跌幅-5.03%，换手率0.23%，成交额333.74万。异常期间4月17日至4月21日，期间涨幅-13.71%,2026-04-21 16:26:53,东方财富Choice数据,http://finance.eastmoney.com/a/202604213712295747.html
002731.SZ,ST萃华,002731,002731，年报或被出具非标意见！将触及退市风险警示情形,4月17日晚间，ST萃华002731公告，公司于近日收到立信中联会计师事务所（特殊普通合伙）（以下简称“立信中联”）发来的《ST萃华2025年年审会计师对审计工作进度和审计执行情况的说明》（以下简称“《说明》”）。,2026-04-17 22:08:00,证券时报网,http://finance.eastmoney.com/a/202604173709330940.html
002731.SZ,ST萃华,002731,ST萃华：预计无法在法定期限内披露2025年年报及2026年一季报,ST萃华002731.SZ)公告称，公司原定于4月29日披露2025年年度报告和2026年第一季度报告。因定期报告涉及的部分信息需要进一步补充提供，公司无法在原定日期披露，也可能无法在法定期限内(4月30日)披露上述定期报告。,2026-04-27 16:30:27,财联社,http://finance.eastmoney.com/a/202604273720164532.html
002731.SZ,ST萃华,002731,82股每笔成交量增长超50%,157.37 600965 福成股份 -9.96 1299 136.88 000782 恒申新材 9.35 2042 133.34 601567 三星电气 -10.01 1199 129.99 4月27日成交笔数环比增幅居前个股 证券代码 证券简称 日涨跌(%) 笔数 环比(%) 002731,2026-04-27 21:14:00,证券时报网,http://finance.eastmoney.com/a/202604273720688065.html
002731.SZ,ST萃华,002731,55只ST股预告2025年全年业绩,4000.00 8.18 机械设备 603580 *ST艾艾 预盈 4000.00 4000.00 21.25 基础化工 000669 ST金鸿 预盈 3300.00 2200.00 40.68 公用事业 000504 *ST生物 预盈 3250.00 2850.00 9.27 医药生物 002731,2026-04-28 10:37:00,证券时报网,http://finance.eastmoney.com/a/202604283721909419.html
002731.SZ,ST萃华,002731,64股每笔成交量增长超50%,（数据宝） 4月22日每笔成交环比增幅居前个股 证券代码 证券简称 日涨跌(%) 每笔成交(股) 环比(%) 002731 ST萃华 -4.98 4220 256.88 002194 武汉凡谷 10.02 1799 199.42 600082 ST海泰 0.68 6962 180.85,2026-04-22 21:42:00,证券时报网,http://finance.eastmoney.com/a/202604223714593287.html
002731.SZ,ST萃华,002731,ST萃华：可能被实施退市风险警示以及叠加其他风险警示,ST萃华0027314月17日公告，公司近日收到立信中联会计师事务所发来的《说明》，立信中联会计师事务所可能对公司2025年财务报表出具非标准意见的审计报告。,2026-04-17 19:52:40,每日经济新闻,http://finance.eastmoney.com/a/202604173709203757.html
