股票代码,股票简称,最新价,最新涨跌幅,个股热度[20260501],个股热度排名[20260501],market_code,code
600410.SH,华胜天成,21.92,-2.621057307863171,26015.5,101,17,600410
002498.SZ,汉缆股份,8.72,-3.3259423503325825,25916.5,102,33,002498
002624.SZ,完美世界,15.21,-8.593749999999998,25773.0,103,33,002624
002990.SZ,盛视科技,53.83,9.991826726604007,25696.0,104,33,002990
600498.SH,烽火通信,46.68,-9.359223300970873,25334.0,105,17,600498
000402.SZ,金融街,3.17,10.069444444444446,24892.0,106,33,000402
688808.SH,联讯仪器,1033.33,11.350215517241372,24738.5,107,17,688808
002015.SZ,协鑫能科,17.75,-5.02942750133762,24565.5,108,33,002015
000790.SZ,华神科技,4.57,10.120481927710841,24548.5,109,33,000790
002645.SZ,华宏科技,25.77,9.98719590268886,24470.0,110,33,002645
002340.SZ,格林美,9.14,-5.186721991701244,24444.0,111,33,002340
603019.SH,中科曙光,92.96,2.8091130280911214,24426.0,112,17,603019
600879.SH,航天电子,23.97,3.9011703511053253,24313.5,113,17,600879
000938.SZ,紫光股份,31.99,-1.3263417643430082,24190.5,114,33,000938
603256.SH,宏和科技,119.1,-1.2601558613828636,23961.0,115,17,603256
000155.SZ,川能动力,17.42,-9.506493506493497,23956.0,116,33,000155
300058.SZ,蓝色光标,17.12,-1.552616446233465,23875.0,117,33,300058
605222.SH,起帆电缆,36.37,10.012099213551105,23786.0,118,17,605222
000925.SZ,众合科技,9.19,-5.840163934426233,23771.0,119,33,000925
000973.SZ,佛塑科技,20.99,-1.4091122592766592,23687.0,120,33,000973
600089.SH,特变电工,26.82,-1.5779816513761458,23403.0,121,17,600089
000547.SZ,航天发展,24.58,2.1612635078969227,23394.5,122,33,000547
605389.SH,长龄液压,116.98,9.840375586854464,23280.5,123,17,605389
000593.SZ,德龙汇能,25.3,-5.278921752152751,23203.5,125,33,000593
002044.SZ,美年健康,5.43,3.231939163498098,23203.5,124,33,002044
300769.SZ,德方纳米,71.95,12.9158819836786,22877.5,126,33,300769
002371.SZ,北方华创,536.99,5.145777447083478,22812.0,127,33,002371
002463.SZ,沪电股份,102.57,0.5785448127083636,22799.0,128,33,002463
000980.SZ,众泰汽车,2.52,10.043668122270741,22767.5,129,33,000980
